incident_id;event;timestamp;knowledge;u_priority_confirmation;notify;opened_at;sys_created_at;resolved_at;closed_at;reassignment_count;reopen_count;sys_mod_count;made_sla;caller_id;opened_by;sys_created_by;sys_updated_by;closed_code;resolved_by;assignment_group;assigned_to;location;category;subcategory;cmdb_ci;impact;urgency;priority;assignment_group;assigned_to;problem_id;caused_by
INC0000045;N;29/02/2016 01:23;True;False;Do Not Notify;29/02/2016 01:16;29/02/2016 01:23;29/02/2016 11:29;05/03/2016 12:00;0;0;0;True;Caller 2403;Opened by  8;Created by 6;Updated by 21;code 5;Resolved by 149;Group 56;?;Location 143;Category 55;Subcategory 170;?;2 - Medium;2 - Medium;3 - Moderate;Group 56;?;?;?
INC0000045;K;29/02/2016 08:53;True;False;Do Not Notify;29/02/2016 01:16;29/02/2016 01:23;29/02/2016 11:29;05/03/2016 12:00;0;0;2;True;Caller 2403;Opened by  8;Created by 6;Updated by 642;code 5;Resolved by 149;Group 56;?;Location 143;Category 55;Subcategory 170;?;2 - Medium;2 - Medium;3 - Moderate;Group 56;?;?;?
INC0000045;R;29/02/2016 08:53;True;False;Do Not Notify;29/02/2016 01:16;29/02/2016 01:23;29/02/2016 11:29;05/03/2016 12:00;0;0;2;True;Caller 2403;Opened by  8;Created by 6;Updated by 642;code 5;Resolved by 149;Group 56;?;Location 143;Category 55;Subcategory 170;?;2 - Medium;2 - Medium;3 - Moderate;Group 56;?;?;?
INC0000045;K;29/02/2016 11:29;True;False;Do Not Notify;29/02/2016 01:16;29/02/2016 01:23;29/02/2016 11:29;05/03/2016 12:00;0;0;3;True;Caller 2403;Opened by  8;Created by 6;Updated by 804;code 5;Resolved by 149;Group 56;?;Location 143;Category 55;Subcategory 170;?;2 - Medium;2 - Medium;3 - Moderate;Group 56;?;?;?
INC0000045;R;29/02/2016 11:29;True;False;Do Not Notify;29/02/2016 01:16;29/02/2016 01:23;29/02/2016 11:29;05/03/2016 12:00;0;0;3;True;Caller 2403;Opened by  8;Created by 6;Updated by 804;code 5;Resolved by 149;Group 56;?;Location 143;Category 55;Subcategory 170;?;2 - Medium;2 - Medium;3 - Moderate;Group 56;?;?;?
INC0000045;C;05/03/2016 12:00;True;False;Do Not Notify;29/02/2016 01:16;29/02/2016 01:23;29/02/2016 11:29;05/03/2016 12:00;0;0;4;True;Caller 2403;Opened by  8;Created by 6;Updated by 908;code 5;Resolved by 149;Group 56;?;Location 143;Category 55;Subcategory 170;?;2 - Medium;2 - Medium;3 - Moderate;Group 56;?;?;?
INC0000047;N;29/02/2016 04:57;True;False;Do Not Notify;29/02/2016 04:40;29/02/2016 04:57;01/03/2016 09:52;06/03/2016 10:00;0;0;0;True;Caller 2403;Opened by  397;Created by 171;Updated by 746;code 5;Resolved by 81;Group 70;Resolver 89;Location 165;Category 40;Subcategory 215;?;2 - Medium;2 - Medium;3 - Moderate;Group 70;Resolver 89;?;?
INC0000047;G;29/02/2016 05:30;True;False;Do Not Notify;29/02/2016 04:40;29/02/2016 04:57;01/03/2016 09:52;06/03/2016 10:00;1;0;1;True;Caller 2403;Opened by  397;Created by 171;Updated by 21;code 5;Resolved by 81;Group 24;Resolver 31;Location 165;Category 40;Subcategory 215;?;2 - Medium;2 - Medium;3 - Moderate;Group 24;Resolver 31;?;?
INC0000047;A;29/02/2016 05:30;True;False;Do Not Notify;29/02/2016 04:40;29/02/2016 04:57;01/03/2016 09:52;06/03/2016 10:00;1;0;1;True;Caller 2403;Opened by  397;Created by 171;Updated by 21;code 5;Resolved by 81;Group 24;Resolver 31;Location 165;Category 40;Subcategory 215;?;2 - Medium;2 - Medium;3 - Moderate;Group 24;Resolver 31;?;?
INC0000047;A;29/02/2016 05:33;True;False;Do Not Notify;29/02/2016 04:40;29/02/2016 04:57;01/03/2016 09:52;06/03/2016 10:00;1;0;2;True;Caller 2403;Opened by  397;Created by 171;Updated by 21;code 5;Resolved by 81;Group 24;Resolver 31;Location 165;Category 40;Subcategory 215;?;2 - Medium;2 - Medium;3 - Moderate;Group 24;Resolver 31;?;?
INC0000047;A;29/02/2016 11:31;True;False;Do Not Notify;29/02/2016 04:40;29/02/2016 04:57;01/03/2016 09:52;06/03/2016 10:00;1;0;3;True;Caller 2403;Opened by  397;Created by 171;Updated by 804;code 5;Resolved by 81;Group 24;Resolver 31;Location 165;Category 40;Subcategory 215;?;2 - Medium;2 - Medium;3 - Moderate;Group 24;Resolver 31;?;?
INC0000047;A;29/02/2016 11:32;True;False;Do Not Notify;29/02/2016 04:40;29/02/2016 04:57;01/03/2016 09:52;06/03/2016 10:00;1;0;4;True;Caller 2403;Opened by  397;Created by 171;Updated by 703;code 5;Resolved by 81;Group 24;Resolver 31;Location 165;Category 40;Subcategory 215;?;2 - Medium;2 - Medium;3 - Moderate;Group 24;Resolver 31;?;?
INC0000047;A;01/03/2016 09:14;True;False;Do Not Notify;29/02/2016 04:40;29/02/2016 04:57;01/03/2016 09:52;06/03/2016 10:00;1;0;5;True;Caller 2403;Opened by  397;Created by 171;Updated by 332;code 5;Resolved by 81;Group 24;Resolver 31;Location 165;Category 40;Subcategory 215;?;2 - Medium;2 - Medium;3 - Moderate;Group 24;Resolver 31;?;?
INC0000047;W;01/03/2016 09:14;True;False;Do Not Notify;29/02/2016 04:40;29/02/2016 04:57;01/03/2016 09:52;06/03/2016 10:00;1;0;6;True;Caller 2403;Opened by  397;Created by 171;Updated by 332;code 5;Resolved by 81;Group 24;Resolver 89;Location 165;Category 40;Subcategory 215;?;2 - Medium;2 - Medium;3 - Moderate;Group 24;Resolver 89;?;?
INC0000047;K;01/03/2016 09:52;True;False;Do Not Notify;29/02/2016 04:40;29/02/2016 04:57;01/03/2016 09:52;06/03/2016 10:00;1;0;7;True;Caller 2403;Opened by  397;Created by 171;Updated by 332;code 5;Resolved by 81;Group 24;Resolver 89;Location 165;Category 40;Subcategory 215;?;2 - Medium;2 - Medium;3 - Moderate;Group 24;Resolver 89;?;?
INC0000047;R;01/03/2016 09:52;True;False;Do Not Notify;29/02/2016 04:40;29/02/2016 04:57;01/03/2016 09:52;06/03/2016 10:00;1;0;7;True;Caller 2403;Opened by  397;Created by 171;Updated by 332;code 5;Resolved by 81;Group 24;Resolver 89;Location 165;Category 40;Subcategory 215;?;2 - Medium;2 - Medium;3 - Moderate;Group 24;Resolver 89;?;?
