,0
?,0.6415151515151515
Category 10,0.64
Category 12,0.8
Category 13,0.5403539823008849
Category 14,0.77
Category 15,0.64
Category 16,0.7350000000000001
Category 17,0.5797058823529412
Category 19,0.5823952095808383
Category 2,0.616
Category 20,0.5695588235294118
Category 21,0.5457142857142857
Category 22,0.5609090909090909
Category 23,0.5371875
Category 24,0.5824054054054054
Category 25,0.624
Category 26,0.5480165289256198
Category 27,0.69
Category 28,0.616986301369863
Category 29,0.6166666666666667
Category 3,0.8
Category 30,0.526
Category 31,0.614
Category 32,0.5512295081967213
Category 33,0.57625
Category 34,0.5627247191011235
Category 35,0.6064
Category 36,0.44
Category 37,0.5796194503171247
Category 38,0.5797560975609756
Category 4,0.6466666666666667
Category 40,0.5097858672376874
Category 41,0.8377777777777777
Category 42,0.5560879904875149
Category 43,0.6157391304347826
Category 44,0.607877358490566
Category 45,0.5753352769679301
Category 46,0.5777740492170023
Category 47,0.5685714285714285
Category 48,0.42
Category 49,0.42
Category 5,0.7766666666666667
Category 50,0.6263636363636363
Category 51,0.5647101449275362
Category 52,0.815
Category 53,0.5541666666666667
Category 54,0.677
Category 55,0.5433684210526316
Category 56,0.629
Category 57,0.5668823529411765
Category 58,0.73
Category 59,0.7114285714285714
Category 6,0.765
Category 61,0.5868595041322314
Category 62,0.612
Category 63,0.64
Category 7,0.6107407407407407
Category 8,0.6465714285714286
